Year,Biomass,DOM,Total Ecosystem
104,123287.22276607403,195228.90182315256,318516.12458922656
105,123294.3130134981,195451.0095803122,318745.3225938103
106,123301.35755401314,195670.9041930364,318972.2617470495
107,123308.35653221348,195888.68294671606,319197.03947892954
108,123315.31009053867,196104.43337547407,319419.74346601276
109,123322.2183693004,196318.23459528046,319640.45296458085
110,123329.0815067091,196530.1584096429,319859.239916352
111,123285.20019816098,196766.49695353463,320051.6971516956
112,123241.28215831498,196999.50992611877,320240.7920844338
113,123197.32736859415,197229.3710351944,320426.69840378856
114,123153.3358096353,197456.23400166343,320609.56981129874
115,123109.3074612887,197680.2357188382,320789.5431801269
116,123065.24230261765,197901.49879347192,320966.7410960896
117,123021.14031189817,198120.13360880874,321141.2739207069
118,122977.0014666184,198336.24001508576,321313.2414817042
119,122932.82574347804,198549.90872718926,321482.7344706673
120,122888.61311838744,198761.22249009984,321649.8356084873
121,122807.72723528271,198992.79865113113,321800.5258864138
122,122726.80385744151,199220.92574394285,321947.7296013844
123,122645.84290129573,199445.76084885455,322091.6037501503
124,122564.84428259534,199667.4441698994,322232.2884524947
125,122483.80791640318,199886.1015893375,322369.9095057407
126,122402.73371708968,200101.84673833058,322504.58045542025
127,122321.6215983275,200314.78269124663,322636.40428957413
128,122240.47147308612,200525.00336469288,322765.474837779
129,122159.28325362632,200732.5946828612,322891.8779364875
130,122078.05685149449,200937.6355562696,323015.69240776415
131,121964.1868867355,201165.15986887104,323129.34675560653
132,121850.268885981,201389.03528681025,323239.30417279125
133,121736.3027042022,201609.41618923235,323345.71889343456
134,121622.28819541665,201826.4408999689,323448.7290953855
135,121508.2252126798,202040.23407902193,323548.4592917017
136,121394.11360807571,202250.9086666489,323645.0222747246
137,121279.95323270821,202458.567478554,323738.5207112622
138,121165.74393669172,202663.304526654,323829.04846334574
139,121051.48556914183,202865.2061220789,323916.69169122074
140,120937.17797816596,203064.35180381633,324001.52978198224
141,120804.13149006478,203273.77782286837,324077.90931293316
142,120671.03028192092,203479.92552386748,324150.9558057884
143,120537.87417691607,203682.90742896523,324220.7816058813
144,120404.6629971177,203882.82560016174,324287.4885972794
145,120271.39656346891,204079.77310817497,324351.1696716439
146,120138.07469577766,204273.83523757785,324411.9099333555
147,120004.6972127062,204465.09048481428,324469.78769752046
148,119871.26393176033,204653.61139207988,324524.8753238402
149,119737.77466927835,204839.46524993144,324577.2399192098
150,119604.22924042007,205022.71469393896,324626.943934359
151,119475.20178351909,205192.09836118505,324667.3001447042
152,119346.12462025805,205359.4009160373,324705.5255362954
153,119216.99758527144,205524.64376761494,324741.6413528864
154,119087.82051218467,205687.84887643383,324775.6693886185
155,118958.59323360474,205849.0385202819,324807.63175388664
156,118829.31558111068,206008.23511835642,324837.55069946713
157,118699.987385244,206165.46109945653,324865.4484847005
158,118570.60847549902,206320.7388035893,324891.34727908834
159,118441.17868031294,206474.09040898774,324915.2690893007
160,118311.69782705596,206625.53787849823,324937.2357055542
161,118179.3736153156,206775.67134484887,324955.04496016447
162,118046.99380940686,206923.89758334382,324970.89139275067
163,117914.55820844631,207070.24059191346,324984.7988003598
164,117782.06661026416,207214.72371299713,324996.7903232613
165,117649.51881139209,207357.3696840613,325006.8884954534
166,117516.91460705074,207498.2006794574,325015.1152865081
167,117384.25379113731,207637.23834577273,325021.49213691003
168,117251.53615621265,207774.50383222286,325026.0399884355
169,117118.76149348862,207910.01781720054,325028.77931068913
170,116985.9295928149,208043.80053179158,325029.73012460646
171,116852.10434130128,208175.87316373107,325027.9775050323
172,116718.21817620147,208306.251376131,325024.4695523325
173,116584.27086044847,208434.9538169146,325019.22467736306
174,116450.2621553648,208561.99882894894,325012.26098431373
175,116316.19182064659,208687.40445480778,325003.5962754543
176,116182.05961434722,208811.18844141965,324993.24805576686
177,116047.86529286094,208933.36824475206,324981.233537613
178,115913.60861090606,209053.96103460118,324967.56964550726
179,115779.28932150821,209172.98369950728,324952.2730210155
180,115644.90717598314,209290.4528517859,324935.36002776906
181,115510.78755544212,209404.42207509116,324915.2096305333
182,115376.60604633063,209516.93887362472,324893.54491995537
183,115242.36239935637,209628.01393368805,324870.37633304443
184,115108.0563634792,209737.65821662464,324845.7145801039
185,114973.68768589341,209845.88290957303,324819.5705954664
186,114839.2561120094,209952.6993799132,324791.9554919226
187,114704.76138543535,210058.1191338741,324762.88051930943
188,114570.20324795836,210162.1537794145,324732.35702737287
189,114435.58143952582,210264.81499326797,324700.39643279376
190,114300.89569822594,210366.11449191172,324667.01019013766
191,114167.611224541,210464.66232592348,324632.2735504645
192,114034.2625926857,210561.9436089557,324596.2062016414
193,113900.84953314633,210657.9643337688,324558.8138669151
194,113767.37177444146,210752.73118469762,324520.10295913904
195,113633.8290431014,210846.2514050748,324480.08044817625
196,113500.22106364682,210938.5326892881,324438.7537529349
197,113366.54755856753,211029.5830942841,324396.13065285166
198,113232.80824830072,211119.41096654235,324352.21921484306
199,113099.00285120904,211208.02488144932,324307.0277326584
200,112965.13108355837,211295.4335926861,324260.5646762445
